"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"5.501291989664082","0.0","0.1817754814466886","0.0","1","1","8","false","SEPSECS-AS1","15.0","0","1","0","0.8815449476404189","false","0","SEPSECS-AS1","0","0.0","lncRNA"
"4.679586563307494","0.0","0.21369409166206516","0.0","1","1","6","false","RP11-66N24.4","12.0","0","1","0","0.9031687746498027","false","0","RP11-66N24.4","0","0.0","lncRNA"
"5.108527131782946","0.0","0.19575113808801214","0.0","1","1","8","false","LINC00661","19.0","0","1","0","0.8918808649530803","false","0","LINC00661","0","0.0","lncRNA"
"4.989664082687338","0.0","0.20041429311237702","0.0","1","1","8","false","AJ003147.8","17.0","0","1","0","0.8950088399292805","false","0","AJ003147.8","0","0.0","lncRNA"
"5.025839793281654","0.0","0.19897172236503854","0.0","1","1","7","false","CCDC144NL-AS1","6.0","0","1","0","0.8940568475452196","false","0","CCDC144NL-AS1","0","0.0","lncRNA"
"5.8062015503875966","0.0","0.17222963951935916","0.0","1","1","8","false","LINC01529","7.0","0","1","0","0.8735210118319053","false","0","LINC01529","0","0.0","lncRNA"
"4.416020671834626","0.0","0.22644821533060266","0.0","1","1","6","false","RP11-1348G14.8","21.0","0","1","0","0.9101047191622468","false","0","RP11-1348G14.8","0","0.0","lncRNA"
"5.217054263565892","0.0","0.19167904903417532","0.0","1","1","8","false","IDI2-AS1","14.0","0","1","0","0.8890248878008976","false","0","IDI2-AS1","0","0.0","lncRNA"
"5.5633074935400515","0.0","0.17974918718067812","0.0","1","1","8","false","RP11-517O13.1","3.0","0","1","0","0.8799129606963144","false","0","RP11-517O13.1","0","0.0","lncRNA"
"5.501291989664082","0.0","0.1817754814466886","0.0","1","1","8","false","RP3-508I15.22","15.0","0","1","0","0.8815449476404189","false","0","RP3-508I15.22","0","0.0","lncRNA"
"4.416020671834626","0.0","0.22644821533060266","0.0","1","1","6","false","RP11-430G17.3","21.0","0","1","0","0.9101047191622468","false","0","RP11-430G17.3","0","0.0","lncRNA"
"4.989664082687338","0.0","0.20041429311237702","0.0","1","1","8","false","CTD-2410N18.4","17.0","0","1","0","0.8950088399292805","false","0","CTD-2410N18.4","0","0.0","lncRNA"
"5.294573643410852","0.0","0.18887262079062958","0.0","1","1","8","false","CTD-3193O13.11","3.0","0","1","0","0.8869849041207671","false","0","CTD-3193O13.11","0","0.0","lncRNA"
"5.5633074935400515","0.0","0.17974918718067812","0.0","1","1","8","false","LINC00869","3.0","0","1","0","0.8799129606963144","false","0","LINC00869","0","0.0","lncRNA"
"5.501291989664082","0.0","0.1817754814466886","0.0","1","1","8","false","RP5-1125A11.7","15.0","0","1","0","0.8815449476404189","false","0","RP5-1125A11.7","0","0.0","lncRNA"
"6.540051679586563","0.0","0.152903990517582","0.0","1","1","8","false","CTC-273B12.5","3.0","0","1","0","0.8542091663266694","false","0","CTC-273B12.5","0","0.0","lncRNA"
